,HomeTeam,AwayTeam,FTR,Home_Days_Rest,Away_Days_Rest,Home_Avg_Scored_5,Home_Avg_Conceded_5,Home_Avg_Shots_Last_5,Home_Avg_Shots_Conceded_Last_5,Home_Wins_Last_5,Home_Losses_Last_5,Home_Total_Points,Home_Points_Last_5,Away_Avg_Scored_5,Away_Avg_Conceded_5,Away_Avg_Shots_Last_5,Away_Avg_Shots_Conceded_Last_5,Away_Wins_Last_5,Away_Losses_Last_5,Away_Total_Points,Away_Points_Last_5,Home_ELO_Score,Away_ELO_Score,ELO_Diff,Points_Diff
144,Atromitos,Panserraikos,D,9.0,8.0,1.0,0.8,10.4,8.4,2.0,2.0,20.0,7.0,0.6,2.6,6.2,15.2,1.0,4.0,8.0,3.0,1313.149246672371,1231.0092664418892,82.1399802304818,12.0
145,Asteras Tripolis,Atromitos,A,7.0,5.0,0.8,2.0,10.4,13.4,1.0,4.0,16.0,3.0,1.4,0.8,12.6,7.8,2.0,1.0,21.0,8.0,1286.5916244064153,1310.8281523351918,-24.236527928776468,-5.0
146,Olympiakos,Panetolikos,H,7.0,7.0,1.0,0.4,16.6,5.6,2.0,1.0,47.0,8.0,1.6,1.4,10.4,13.0,2.0,3.0,21.0,6.0,1632.690679217628,1290.9571376772155,341.7335415404125,26.0
148,AEK,Levadeiakos,H,7.0,8.0,2.0,0.2,12.4,9.8,3.0,0.0,49.0,11.0,2.0,1.4,8.2,17.4,2.0,1.0,39.0,8.0,1644.484214048306,1408.273240326489,236.21097372181703,10.0
151,Larisa,PAOK,D,7.0,7.0,1.2,1.0,13.0,9.2,3.0,1.0,20.0,10.0,2.0,0.2,13.8,6.0,3.0,0.0,46.0,11.0,1310.0871427520167,1634.7367630411015,-324.64962028908485,-26.0
150,OFI Crete,Panathinaikos,A,7.0,7.0,1.6,1.6,8.0,14.4,3.0,1.0,25.0,10.0,1.0,1.0,11.6,10.0,2.0,1.0,33.0,8.0,1382.2684146801573,1531.5897935843338,-149.32137890417653,-8.0
147,Panserraikos,Volos NFC,H,6.0,8.0,1.0,2.4,6.6,14.4,1.0,3.0,9.0,4.0,0.2,1.8,10.6,12.6,0.0,4.0,26.0,1.0,1233.3303607790683,1357.7361704395832,-124.40580966051493,-17.0
149,Aris,Kifisia,D,8.0,7.0,0.8,0.8,12.0,10.0,1.0,1.0,27.0,6.0,0.8,1.8,14.8,11.2,0.0,3.0,20.0,2.0,1482.8659384582686,1293.560368254225,189.30557020404353,7.0
152,OFI Crete,Larisa,H,6.0,6.0,1.6,1.4,8.2,14.4,3.0,1.0,25.0,10.0,1.2,1.2,11.8,9.8,2.0,1.0,21.0,8.0,1376.3198013717083,1315.581991338204,60.737810033504275,4.0
153,Atromitos,Panetolikos,H,7.0,7.0,1.2,1.0,11.2,9.4,2.0,1.0,24.0,8.0,1.4,1.2,8.2,16.2,2.0,3.0,21.0,6.0,1317.8058118242839,1289.1167502796077,28.68906154467618,3.0
154,Kifisia,Levadeiakos,H,6.0,6.0,0.8,1.8,13.0,13.4,0.0,3.0,21.0,2.0,1.4,2.0,7.2,17.2,1.0,2.0,39.0,5.0,1298.5269874953583,1405.2090010799275,-106.68201358456918,-18.0
155,Panserraikos,Olympiakos,A,7.0,8.0,1.0,2.4,4.8,15.2,1.0,3.0,12.0,4.0,1.2,0.4,18.6,5.4,2.0,1.0,50.0,8.0,1243.4066989994035,1634.5310666152359,-391.1243676158324,-38.0
156,Volos NFC,AEK,D,7.0,7.0,0.4,1.6,11.6,11.0,0.0,4.0,26.0,1.0,2.0,0.2,13.0,8.6,3.0,0.0,52.0,11.0,1347.659832219248,1647.5484532948676,-299.88862107561954,-26.0
157,PAOK,Asteras Tripolis,H,7.0,8.0,1.6,0.4,11.2,6.8,2.0,0.0,47.0,9.0,1.0,2.2,10.4,13.2,1.0,4.0,16.0,3.0,1627.4102982595184,1279.6139649173233,347.7963333421951,31.0
158,Panathinaikos,Aris,H,7.0,7.0,1.4,0.2,11.6,8.4,3.0,0.0,36.0,11.0,1.0,0.8,15.4,10.4,1.0,0.0,28.0,7.0,1537.5384068927829,1479.1409740274187,58.39743286536418,8.0
159,Panathinaikos,OFI Crete,H,3.0,4.0,2.0,0.4,11.8,8.8,4.0,0.0,39.0,13.0,2.0,1.4,7.2,14.2,3.0,1.0,28.0,10.0,1543.7895356378388,1382.5218656217342,161.2676700161046,11.0
160,Kifisia,PAOK,A,4.0,3.0,0.8,1.4,13.2,11.8,1.0,2.0,24.0,5.0,1.4,0.4,13.2,6.8,2.0,0.0,50.0,9.0,1308.2601576981026,1629.195074180595,-320.9349164824923,-26.0
162,Aris,Atromitos,D,6.0,7.0,0.8,1.0,14.2,10.8,1.0,1.0,28.0,6.0,1.4,1.0,10.8,8.8,3.0,1.0,27.0,10.0,1472.8898452823628,1324.6879123773585,148.20193290500424,1.0
