,HomeTeam,AwayTeam,FTR,Home_Days_Rest,Away_Days_Rest,Home_Avg_Scored_5,Home_Avg_Conceded_5,Home_Avg_Shots_Last_5,Home_Avg_Shots_Conceded_Last_5,Home_Wins_Last_5,Home_Losses_Last_5,Home_Total_Points,Home_Points_Last_5,Away_Avg_Scored_5,Away_Avg_Conceded_5,Away_Avg_Shots_Last_5,Away_Avg_Shots_Conceded_Last_5,Away_Wins_Last_5,Away_Losses_Last_5,Away_Total_Points,Away_Points_Last_5,Home_ELO_Score,Away_ELO_Score,ELO_Diff
76,St Pauli,M'gladbach,A,7.0,7.0,0.2,2.0,10.8,12.2,0.0,5.0,7.0,0.0,1.2,2.6,8.4,17.8,0.0,3.0,3.0,2.0,1523.7134649531474,1555.167779796519,-31.45431484337155
77,Union Berlin,Freiburg,D,8.0,6.0,1.4,1.4,12.0,15.8,2.0,2.0,10.0,7.0,1.2,1.0,10.0,12.6,1.0,1.0,9.0,6.0,1579.6616763124327,1629.7080568141907,-50.046380501757994
78,Bayern Munich,Leverkusen,H,7.0,6.0,3.2,0.4,19.6,7.2,5.0,0.0,24.0,15.0,2.2,1.0,15.4,11.6,4.0,0.0,17.0,13.0,1943.794210558018,1818.8900451065535,124.90416545146445
79,FC Koln,Hamburg,H,8.0,8.0,0.8,1.4,10.2,17.0,1.0,3.0,11.0,4.0,1.4,0.8,19.0,11.6,2.0,2.0,8.0,7.0,1549.6205128981317,1546.063929494026,3.556583404105595
80,Wolfsburg,Hoffenheim,A,8.0,8.0,0.4,1.6,12.6,16.8,1.0,4.0,8.0,3.0,1.6,1.4,14.0,11.2,2.0,2.0,13.0,7.0,1570.6496202355556,1675.6572502957385,-105.00763006018292
81,Werder Bremen,Wolfsburg,H,6.0,5.0,1.0,1.4,11.2,18.4,2.0,1.0,12.0,8.0,0.8,2.0,13.0,16.4,1.0,4.0,8.0,3.0,1606.828134753508,1563.5831977947116,43.244936958796416
86,Hamburg,Dortmund,D,6.0,8.0,1.2,1.4,16.8,12.2,1.0,3.0,8.0,4.0,1.2,0.6,13.0,10.0,3.0,1.0,20.0,10.0,1536.1662926176307,1846.514130782077,-310.34783816444633
85,Hoffenheim,RB Leipzig,H,6.0,7.0,2.0,1.0,13.6,10.0,3.0,1.0,16.0,10.0,2.6,0.6,14.8,16.2,4.0,0.0,22.0,13.0,1682.7236727365826,1757.028821227038,-74.3051484904554
84,Leverkusen,Heidenheim,H,7.0,7.0,2.0,1.4,14.2,12.6,4.0,1.0,17.0,12.0,1.2,1.6,13.6,13.4,1.0,2.0,5.0,5.0,1815.6139264283422,1507.3036676581942,308.31025877014804
83,Union Berlin,Bayern Munich,D,7.0,7.0,0.6,0.8,12.0,14.6,1.0,2.0,11.0,5.0,3.0,0.2,19.6,6.2,5.0,0.0,27.0,15.0,1581.092246303798,1947.0703292362293,-365.97808293243133
82,M'gladbach,FC Koln,H,7.0,6.0,1.8,2.4,8.8,18.4,1.0,3.0,6.0,4.0,1.4,1.0,12.2,15.6,2.0,2.0,14.0,7.0,1564.2649171708833,1559.518149774527,4.74676739635629
87,Freiburg,St Pauli,H,8.0,8.0,0.6,1.0,10.6,12.4,0.0,1.0,10.0,4.0,0.2,2.4,12.2,11.8,0.0,5.0,7.0,0.0,1628.2774868228255,1514.616327578783,113.66115924404244
88,Stuttgart,Augsburg,H,8.0,9.0,1.8,1.0,16.2,11.8,4.0,1.0,18.0,12.0,1.0,2.2,10.4,10.8,1.0,3.0,7.0,4.0,1548.8015482136434,1546.277842431592,2.5237057820513655
89,Ein Frankfurt,Mainz,H,8.0,8.0,2.2,2.0,12.2,10.6,2.0,1.0,14.0,8.0,1.0,2.6,10.8,13.8,0.0,4.0,5.0,1.0,1648.8474484427984,1587.2734735801869,61.57397486261152
90,Mainz,Hoffenheim,D,12.0,13.0,1.0,2.4,9.8,14.6,0.0,4.0,5.0,1.0,2.4,1.0,13.0,12.2,4.0,1.0,19.0,12.0,1579.0273907961734,1694.830325424441,-115.80293462826762
