,HomeTeam,AwayTeam,FTR,Home_Days_Rest,Away_Days_Rest,Home_Avg_Scored_5,Home_Avg_Conceded_5,Home_Avg_Shots_Last_5,Home_Avg_Shots_Conceded_Last_5,Home_Wins_Last_5,Home_Losses_Last_5,Home_Total_Points,Home_Points_Last_5,Away_Avg_Scored_5,Away_Avg_Conceded_5,Away_Avg_Shots_Last_5,Away_Avg_Shots_Conceded_Last_5,Away_Wins_Last_5,Away_Losses_Last_5,Away_Total_Points,Away_Points_Last_5,Home_ELO_Score,Away_ELO_Score,ELO_Diff,Points_Diff
270,Alaves,Villarreal,D,5.0,5.0,1.0,2.0,13.8,14.4,0.0,3.0,27.0,2.0,1.4,1.6,11.4,12.2,3.0,2.0,54.0,9.0,1551.203204395723,1728.422615530957,-177.21941113523394,-27.0
271,Girona,Ath Bilbao,H,7.0,7.0,1.4,1.4,15.0,15.2,1.0,1.0,31.0,6.0,1.8,1.2,14.2,7.4,3.0,1.0,35.0,10.0,1618.8151238630096,1607.3514691710598,11.463654691949841,-4.0
272,Ath Madrid,Getafe,H,7.0,6.0,1.6,1.6,14.6,10.4,3.0,2.0,54.0,9.0,1.4,0.4,9.2,11.8,4.0,1.0,35.0,12.0,1773.2758186932203,1637.224572723663,136.05124596955739,19.0
273,Oviedo,Valencia,H,5.0,6.0,1.0,2.0,10.2,17.4,0.0,3.0,18.0,2.0,1.4,1.2,10.6,10.0,3.0,2.0,32.0,9.0,1492.2854569780736,1626.1943879933049,-133.90893101523125,-14.0
274,Real Madrid,Elche,H,8.0,6.0,1.8,1.0,13.8,10.0,3.0,2.0,63.0,9.0,1.0,1.8,12.0,12.0,0.0,3.0,26.0,2.0,1862.9376483092951,1526.2340659322128,336.7035823770823,37.0
275,Mallorca,Espanol,H,8.0,6.0,0.6,2.0,7.6,19.0,0.0,4.0,25.0,1.0,1.6,2.6,12.6,13.0,0.0,2.0,37.0,3.0,1602.360276949766,1647.2481471273632,-44.88787017759705,-12.0
276,Barcelona,Sevilla,H,8.0,7.0,2.4,0.6,19.8,8.6,4.0,1.0,67.0,12.0,1.2,1.0,9.2,10.2,1.0,0.0,31.0,7.0,1880.1935549496914,1617.7291519758946,262.4644029737967,36.0
277,Betis,Celta,D,7.0,9.0,1.2,1.2,12.4,11.8,2.0,1.0,43.0,8.0,1.6,1.4,13.4,9.4,2.0,2.0,40.0,7.0,1677.6509717844217,1664.2632748965816,13.387696887840093,3.0
278,Sociedad,Osasuna,H,8.0,8.0,2.0,2.2,11.6,13.2,2.0,2.0,35.0,7.0,1.2,1.0,11.4,14.4,2.0,1.0,34.0,8.0,1636.391523862584,1634.4522797875195,1.9392440750646074,1.0
279,Vallecano,Levante,D,8.0,9.0,1.8,0.6,13.6,10.0,2.0,0.0,31.0,9.0,0.6,1.4,13.2,16.2,1.0,3.0,22.0,4.0,1624.1266035437377,1510.8123562958765,113.3142472478612,9.0
280,Villarreal,Sociedad,H,7.0,5.0,1.4,1.4,11.8,12.8,3.0,1.0,55.0,10.0,2.0,2.2,12.2,13.6,2.0,2.0,38.0,7.0,1724.897568018369,1643.8496623488763,81.0479056694926,17.0
281,Elche,Mallorca,H,7.0,6.0,1.0,2.0,12.0,12.6,0.0,3.0,26.0,2.0,1.0,1.6,11.0,16.2,1.0,3.0,28.0,4.0,1524.3464155342729,1610.8239038433424,-86.47748830906949,-2.0
282,Espanol,Getafe,A,6.0,7.0,1.6,2.2,12.8,16.2,0.0,2.0,37.0,3.0,1.0,0.6,7.2,12.4,3.0,2.0,35.0,9.0,1638.784520233787,1632.5200291901126,6.2644910436742975,2.0
283,Levante,Oviedo,H,5.0,7.0,0.8,1.2,15.2,18.8,1.0,2.0,23.0,5.0,1.0,1.6,11.0,17.4,1.0,2.0,21.0,5.0,1513.175248581817,1502.541001341435,10.63424724038191,2.0
284,Osasuna,Girona,H,6.0,7.0,1.0,1.4,12.4,13.6,1.0,2.0,34.0,5.0,1.8,1.2,14.8,17.0,2.0,1.0,34.0,8.0,1626.9941413012273,1626.0677507472058,0.9263905540215092,0.0
285,Sevilla,Valencia,A,6.0,7.0,1.4,1.8,8.6,9.8,1.0,1.0,31.0,6.0,1.4,1.0,11.8,10.0,3.0,2.0,32.0,9.0,1615.0169958955955,1615.9388436299434,-0.9218477343479208,-1.0
286,Barcelona,Vallecano,H,7.0,6.0,2.8,1.0,17.6,8.4,4.0,1.0,70.0,12.0,1.4,0.8,14.6,12.0,1.0,0.0,32.0,7.0,1882.001659003224,1621.7637112577972,260.2379477454267,38.0
287,Celta,Alaves,A,7.0,9.0,1.6,1.2,11.2,11.6,2.0,1.0,41.0,8.0,1.2,1.8,12.8,13.0,0.0,2.0,28.0,3.0,1664.552128617263,1554.7282519083112,109.82387670895173,13.0
288,Ath Bilbao,Betis,H,8.0,7.0,1.0,1.4,13.8,9.0,2.0,2.0,35.0,7.0,1.2,1.4,14.6,11.2,1.0,1.0,44.0,6.0,1600.0988422868636,1677.3621180637404,-77.26327577687675,-9.0
289,Real Madrid,Ath Madrid,H,8.0,8.0,2.2,1.2,14.4,10.8,3.0,2.0,66.0,9.0,1.8,1.4,15.8,10.2,4.0,1.0,57.0,12.0,1864.1960819079218,1777.9803622267707,86.21571968115109,9.0
290,Vallecano,Elche,H,12.0,13.0,1.2,0.8,13.8,12.2,1.0,1.0,32.0,6.0,1.4,2.2,11.2,13.6,1.0,3.0,29.0,4.0,1619.022963272116,1533.6755639479481,85.34739932416778,3.0
291,Sociedad,Levante,H,15.0,14.0,2.0,2.0,11.8,15.6,2.0,2.0,38.0,7.0,1.6,1.4,16.0,17.8,2.0,1.0,26.0,8.0,1638.0681626281194,1520.4457615617357,117.62240106638365,12.0
292,Mallorca,Real Madrid,H,14.0,13.0,1.0,1.6,10.4,15.4,1.0,3.0,28.0,4.0,2.0,1.4,15.6,10.8,3.0,2.0,69.0,9.0,1601.494755429667,1867.9801933634571,-266.4854379337901,-41.0
293,Betis,Espanol,D,13.0,14.0,1.0,1.6,13.4,10.6,0.0,2.0,44.0,3.0,1.4,2.2,14.0,15.4,0.0,3.0,37.0,2.0,1668.2212168965966,1631.1493049768833,37.07191191971333,7.0
294,Ath Madrid,Barcelona,A,13.0,13.0,2.2,1.4,16.6,11.0,4.0,1.0,57.0,12.0,2.8,0.6,15.2,7.4,5.0,0.0,73.0,15.0,1772.3041950434679,1883.8288243270115,-111.52462928354362,-16.0
295,Getafe,Ath Bilbao,H,15.0,14.0,1.0,0.6,8.2,13.8,3.0,2.0,38.0,9.0,1.0,1.4,13.4,9.8,2.0,2.0,38.0,7.0,1640.1552444470162,1609.2397434540073,30.91550099300889,0.0
296,Valencia,Celta,A,15.0,14.0,1.4,1.0,12.6,10.8,3.0,2.0,35.0,9.0,1.8,1.6,10.8,12.6,2.0,2.0,41.0,7.0,1623.4189439936617,1654.7573165622114,-31.33837256854963,-6.0
297,Oviedo,Sevilla,H,15.0,15.0,0.8,1.8,10.2,18.4,1.0,3.0,21.0,4.0,1.2,2.0,10.4,9.2,1.0,2.0,31.0,5.0,1495.2704883615163,1607.5368955318772,-112.26640717036094,-10.0
298,Alaves,Osasuna,D,14.0,15.0,1.8,2.2,13.2,14.6,1.0,2.0,31.0,5.0,1.2,1.4,15.0,11.2,2.0,2.0,37.0,7.0,1564.5230639633628,1634.4741436009938,-69.95107963763098,-6.0
299,Girona,Villarreal,H,16.0,17.0,1.4,1.2,13.2,15.4,1.0,2.0,34.0,5.0,1.8,1.6,13.0,11.8,3.0,1.0,58.0,10.0,1618.5877484474393,1730.679067739126,-112.09131929168666,-24.0
300,Real Madrid,Girona,D,6.0,4.0,2.0,1.4,15.6,9.4,3.0,2.0,69.0,9.0,1.2,0.8,13.2,13.8,2.0,2.0,37.0,7.0,1859.7542655903978,1628.426835724208,231.32742986618973,32.0
301,Sociedad,Alaves,D,7.0,6.0,1.8,1.4,12.4,14.4,3.0,2.0,41.0,9.0,1.8,2.2,13.4,14.2,1.0,2.0,32.0,5.0,1643.1218324895453,1566.013001587878,77.10883090166726,9.0
302,Elche,Valencia,H,8.0,6.0,1.2,2.0,12.6,14.2,1.0,3.0,29.0,4.0,1.6,1.2,13.6,10.2,3.0,2.0,35.0,9.0,1527.9817503208205,1616.593608474966,-88.61185815414547,-6.0
303,Barcelona,Espanol,H,7.0,7.0,2.6,0.8,15.2,7.6,5.0,0.0,76.0,15.0,1.0,1.4,14.0,15.6,0.0,2.0,38.0,3.0,1887.2767986216058,1631.9465432412594,255.33025538034644,38.0
304,Sevilla,Ath Madrid,H,6.0,7.0,1.0,2.2,11.0,9.4,0.0,3.0,31.0,2.0,1.6,1.4,14.2,13.8,3.0,2.0,57.0,9.0,1597.6943968479384,1767.1322336015764,-169.43783675363807,-26.0
305,Osasuna,Betis,D,7.0,8.0,1.2,1.6,14.0,11.8,1.0,2.0,38.0,5.0,0.8,1.4,14.4,9.8,0.0,2.0,45.0,3.0,1632.9842059764785,1667.4239786322205,-34.43977265574199,-7.0
306,Mallorca,Vallecano,H,8.0,9.0,1.4,1.4,11.4,14.4,2.0,2.0,31.0,7.0,1.2,0.6,15.0,12.4,2.0,1.0,35.0,8.0,1613.833647089256,1624.7167768992435,-10.883129809987622,-4.0
307,Celta,Oviedo,A,7.0,7.0,2.0,2.0,8.6,15.0,2.0,2.0,44.0,7.0,1.0,1.6,8.4,17.8,2.0,2.0,24.0,7.0,1661.582652080907,1505.1129870454552,156.46966503545195,20.0
308,Ath Bilbao,Villarreal,A,7.0,6.0,0.6,1.6,10.8,11.4,1.0,3.0,38.0,4.0,1.4,1.6,12.4,12.2,2.0,2.0,58.0,7.0,1602.4053523982668,1720.839980462357,-118.43462806409025,-20.0
309,Levante,Getafe,H,9.0,8.0,1.6,1.2,16.6,17.0,2.0,1.0,26.0,8.0,1.4,0.4,9.0,13.6,4.0,1.0,41.0,12.0,1515.3920917003097,1646.9896355027568,-131.59754380244703,-15.0
